dispatching_base_number,date,active_vehicles,trips,year,month,weekday,trips_per_vehicle
B02682,2015-01-11,943,8461,2015,1,Sunday,8.972428419936373
B02764,2015-01-11,3186,27681,2015,1,Sunday,8.688323917137476
B02617,2015-01-11,1228,10932,2015,1,Sunday,8.90228013029316
B02512,2015-01-11,162,1104,2015,1,Sunday,6.814814814814815
B02764,2015-01-12,3499,26852,2015,1,Monday,7.674192626464704
B02765,2015-01-12,279,1711,2015,1,Monday,6.132616487455197
B02512,2015-01-12,217,1399,2015,1,Monday,6.447004608294931
B02598,2015-01-12,964,7915,2015,1,Monday,8.21058091286307
B02682,2015-01-12,1082,9107,2015,1,Monday,8.416820702402957
B02617,2015-01-12,1323,10662,2015,1,Monday,8.058956916099774
B02765,2015-01-13,258,1697,2015,1,Tuesday,6.577519379844961
B02598,2015-01-13,975,8713,2015,1,Tuesday,8.936410256410257
B02617,2015-01-13,1342,11825,2015,1,Tuesday,8.811475409836065
B02512,2015-01-13,234,1652,2015,1,Tuesday,7.05982905982906
B02764,2015-01-13,3658,29983,2015,1,Tuesday,8.196555494805905
B02682,2015-01-13,1092,9629,2015,1,Tuesday,8.817765567765568
B02764,2015-01-14,3736,29550,2015,1,Wednesday,7.909528907922912
B02765,2015-01-14,271,1600,2015,1,Wednesday,5.904059040590406
B02598,2015-01-14,1030,8870,2015,1,Wednesday,8.611650485436893
B02512,2015-01-14,233,1582,2015,1,Wednesday,6.789699570815451
B02617,2015-01-14,1405,11965,2015,1,Wednesday,8.516014234875446
B02682,2015-01-14,1174,9762,2015,1,Wednesday,8.315161839863714
B02512,2015-01-15,237,1636,2015,1,Thursday,6.90295358649789
B02682,2015-01-15,1208,10391,2015,1,Thursday,8.60182119205298
B02617,2015-01-15,1457,12539,2015,1,Thursday,8.606039807824297
B02765,2015-01-15,270,1797,2015,1,Thursday,6.655555555555556
B02764,2015-01-15,3840,31214,2015,1,Thursday,8.128645833333334
B02598,2015-01-15,1068,9152,2015,1,Thursday,8.569288389513108
B02617,2015-01-16,1445,12977,2015,1,Friday,8.980622837370243
B02765,2015-01-16,290,2082,2015,1,Friday,7.179310344827586
B02764,2015-01-16,3975,34822,2015,1,Friday,8.760251572327045
B02682,2015-01-16,1250,11280,2015,1,Friday,9.024
B02512,2015-01-16,234,1481,2015,1,Friday,6.329059829059829
B02598,2015-01-16,1079,9838,2015,1,Friday,9.117701575532902
B02598,2015-01-17,974,9546,2015,1,Saturday,9.80082135523614
B02512,2015-01-17,201,1281,2015,1,Saturday,6.373134328358209
